id_hci,faci_name,faci_own,faci_sub_own,faci_type,sp_sw,sp_eclaims,location_id,pro,province_city,if_top100,if_top460,nonpart_hf
270531,A. DELA CRUZ MATERNITY HOSPITAL,PRIVATE,SINGLE PROPRIETORSHIP,L1,EUROLINK,EUROLINK,IVACAVITE,IVA,CAVITE,,,false
Z00017,A.M. YUMENA GENERAL HOSPITAL INC.,PRIVATE,CORPORATE,L1,BIZBOX | PHIC,BIZBOX,IIISABELA,II,ISABELA,,,false
940533,AACUACOR HEALTH CARE AND HOSPITAL,PRIVATE,SINGLE PROPRIETORSHIP,INF,EUROLINK | CEREBRO,CEREBRO,XIDAVAO DE ORO,XI,DAVAO DE ORO,,,false
820139,ABELLA MIDWAY HOSPITAL,PRIVATE,SINGLE PROPRIETORSHIP,L1,BIZBOX,BIZBOX,XBUKIDNON,X,BUKIDNON,,,false
291801,ABORLAN MEDICARE HOSPITAL,GOVERNMENT,PROVINCIAL,L1,DOH,DOH,IVBPALAWAN,IVB,PALAWAN,,,false
Z03316,ABPI-SAMAMA MEDICAL LYING-IN CLINIC AND HOSPITAL,PRIVATE,SINGLE PROPRIETORSHIP,INF,TOPAZ,TOPAZ,BARMMMAGUINDANAO,BARMM,MAGUINDANAO,,,false
430601,ABRA DE ILOG MUNICIPAL HOSPITAL,GOVERNMENT,PROVINCIAL,INF,DOH,IHOMIS+,IVBOCCIDENTAL MINDORO,IVB,OCCIDENTAL MINDORO,,,false
010101,ABRA PROVINCIAL HOSPITAL,GOVERNMENT,PROVINCIAL,L1,DOH | GRAPIKOM | DOH,IHOMIS+,CARABRA,CAR,ABRA,,Priority,false
710201,ABUYOG DISTRICT HOSPITAL,GOVERNMENT,PROVINCIAL,L1,,PGL,VIIILEYTE,VIII,LEYTE,,,false
201752,AC SACRED HEART MEDICAL CENTER,PRIVATE,CORPORATE,L2,KAISER | BIZBOX,BIZBOX,IIIAPAMPANGA,IIIA,PAMPANGA,,Priority,false
Z13035,"ACE MEDICAL CENTER SARIAYA, INC.",PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IVAQUEZON,IVA,QUEZON,,,false
310836,ACEBEDO GENERAL HOSPITAL,PRIVATE,SINGLE PROPRIETORSHIP,L1,MEDILINK,MEDILINK,NCR NORTHCALOOCAN CITY,NCR NORTH,CALOOCAN CITY,,,false
861102,ADELA SERRA TY MEMORIAL MEDICAL CENTER,GOVERNMENT,DOH,L2,DOH | BIZBOX,BIZBOX,CARAGASURIGAO DEL SUR,CARAGA,SURIGAO DEL SUR,Top 100 HFs,Priority,false
Z06575,ADVENTIST HEALTHCARE SERVICES,PRIVATE,SINGLE PROPRIETORSHIP,INF,TTSI,TTSI,XIISULTAN KUDARAT,XII,SULTAN KUDARAT,,,false
731627,"ADVENTIST HOSPITAL - CALBAYOG, INC.",PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,VIIIWESTERN SAMAR,VIII,WESTERN SAMAR,,,false
