id_hci,faci_name,faci_own,faci_sub_own,faci_type,sp_sw,sp_eclaims,location_id,pro,province_city,if_top100,if_top460,nonpart_hf
Z11164,OFW HOSPITAL,GOVERNMENT,NATIONAL,L1,DOH,EKONSULTA,IIIAPAMPANGA,IIIA,PAMPANGA,,,false
Z11809,JONI VILLANUEVA GENERAL HOSPITAL,GOVERNMENT,NATIONAL,L1,DOH,IHOMIS,IIIBBULACAN,IIIB,BULACAN,,,false
640106,PNP STATION HOSPITAL,GOVERNMENT,NATIONAL,INF,DOH,DOH,VIICEBU,VII,CEBU,,,true
LX0026,VISAYAS STATE UNIVERSITY HOSPITAL,GOVERNMENT,NATIONAL,INF,DOH,DOH,VIIILEYTE,VIII,LEYTE,,,false
821301,CENTRAL MINDANAO UNIVERSITY HOSPITAL,GOVERNMENT,NATIONAL,INF,DOH,DOH,XBUKIDNON,X,BUKIDNON,,,false
Z06263,CAMP QUINTIN M MERECIDO HOSPITAL,GOVERNMENT,NATIONAL,INF,DOH,DOH,XIDAVAO DEL SUR,XI,DAVAO DEL SUR,,,true
Z05116,CAMP BADO DANGWA HOSPITAL,GOVERNMENT,NATIONAL,INF,,,CARBENGUET,CAR,BENGUET,,,true
262703,VALENZUELA MEDICAL CENTER,GOVERNMENT,NATIONAL,L3,DOH,DOH,NCR NORTHVALENZUELA CITY,NCR NORTH,VALENZUELA CITY,Top 100 HFs,Priority,false
300201,CAMP GEN. EMILIO AGUINALDO STATION HOSPITAL,GOVERNMENT,NATIONAL,INF,DOH,DOH,NCR CENTRALQUEZON CITY,NCR CENTRAL,QUEZON CITY,,,true
030137,RANADA GENERAL HOSPITAL,PRIVATE,CORPORATE,INF,BIZBOX,BIZBOX,IILOCOS NORTE,I,ILOCOS NORTE,,,false
030227,DR. BONIFACIA V. ALBANO MEMORIAL HOSPITAL,PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IILOCOS NORTE,I,ILOCOS NORTE,,,false
040134,"VQR FOUNDATION FOR MEDICAL AND COMMUNITY DEVELOPMENT, INC.",PRIVATE,CORPORATE,L1,BIZBOX | EUROLINK,EUROLINK,IILOCOS SUR,I,ILOCOS SUR,,,false
040327,"PIRA HOSPITAL, INC.",PRIVATE,CORPORATE,L1,EUROLINK | COMLOGIK,COMLOGIK,IILOCOS SUR,I,ILOCOS SUR,,,false
041328,CANDON ST. MARTIN DE PORRES HOSPITAL,PRIVATE,CORPORATE,L1,EUROLINK | BIZBOX,BIZBOX,IILOCOS SUR,I,ILOCOS SUR,,,false
041330,CANDON GENERAL HOSPITAL,PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IILOCOS SUR,I,ILOCOS SUR,,,false
050126,"BETHANY HOSPITAL, INC.",PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,ILA UNION,I,LA UNION,,Priority,false
050127,"LORMA MEDICAL CENTER, INC.",PRIVATE,CORPORATE,L3,KAISER,KAISER,ILA UNION,I,LA UNION,,Priority,false
050128,"LA UNION MEDICAL DIAGNOSTIC CENTER AND HOSPITAL, INC.",PRIVATE,CORPORATE,L1,EUROLINK | COMLOGIK,COMLOGIK,ILA UNION,I,LA UNION,,,false
070127,CUISON HOSPITAL INCORPORATED,PRIVATE,CORPORATE,L1,BIZBOX,BIZBOX,IPANGASINAN,I,PANGASINAN,,,false
070131,"NAZARETH GENERAL HOSPITAL, INC.",PRIVATE,CORPORATE,L2,EUROLINK | COMLOGIK,COMLOGIK,IPANGASINAN,I,PANGASINAN,,Priority,false
070132,THE MEDICAL CITY PANGASINAN,PRIVATE,CORPORATE,L2,BIZBOX,BIZBOX,IPANGASINAN,I,PANGASINAN,,,false
070135,"DAGUPAN DOCTORS VILLAFLOR MEMORIAL HOSPITAL, INC.",PRIVATE,CORPORATE,L2,EUROLINK | COMLOGIK | BIZBOX,BIZBOX,IPANGASINAN,I,PANGASINAN,,Priority,false
070138,SPECIALIST GROUP HOSPITAL AND TRAUMA CENTER,PRIVATE,CORPORATE,L2,EUROLINK | BIZBOX,BIZBOX,IPANGASINAN,I,PANGASINAN,,,false
