facility_name
CALAMBA DOCTORS'  HOSPITAL
CAPALONGA MEDICARE  AND COMMUNITY HOSPITAL
"CHRIST THE SAVIOUR GENERAL HOSPITAL,  INC."
CIRIACO S. TIROL  HOSPITAL
CONG. LAMBERTO L. MACIAS MEMORIAL  HOSPITAL
CORAZON LOCSIN MONTELIBANO MEMORIAL  REGIONAL HOSPITAL
"CRUZ-DALIDA  HOSPITAL, INC."
DOÑA REMEDIOS TRINIDAD-ROMUALDEZ  EDUCATIONAL FOUNDATION HOSPITAL
DR. PABLO O. TORRE  MEMORIAL HOSPITAL
DR. RAFAEL S. TUMBOKON MEMORIAL  HOSPITAL
LEBAK FAMILY DOCTORS'  HOSPITAL
MAMBUSAO DISTRICT  HOSPITAL
"MARIAN HOSPITAL OF STA. ROSA,  INC."
"MIDSAYAP DOCTORS  SPECIALIST HOSPITAL, INC"
QUEZON PROVINCIAL  HOSPITAL  NETWORK- ALABAT
QUEZON PROVINCIAL  HOSPITAL NETWORK - CANDELARIA
RTN FOUNDATION INC.  HOSPITAL
"SAN JUAN DOCTORS HOSPITAL,  INC."
SEN. GERARDO M. ROXAS MEMORIAL  DISTRICT HOSPITAL
SINAWILAN CLINIC AND  HOSPITAL
ST. MARTIN MATERNITY &  PEDIATRIC HOSPITAL
"STA. MARIA JOSEFA  HOSPITAL FOUNDATION, INC."
"UNITED DOCTORS'  HOSPITAL OF KIDAPAWAN, INC."
